4.822,-0.295,5.917,0.014,0.196,-0.015,20.001
4.784,-0.233,5.961,0.012,0.194,-0.012,20.029
4.795,-0.309,5.975,0.020,0.191,-0.016,20.006
4.804,-0.304,5.992,0.020,0.194,-0.017,20.007
4.780,-0.230,6.044,0.016,0.191,-0.010,20.031
4.790,-0.272,6.032,0.009,0.194,-0.019,20.032
4.795,-0.305,5.991,0.007,0.193,-0.018,20.039
4.782,-0.281,6.008,0.020,0.194,-0.016,19.994
4.796,-0.305,6.084,0.021,0.192,-0.025,20.054
4.757,-0.335,6.072,0.029,0.192,-0.018,20.048
4.822,-0.256,5.925,0.013,0.197,-0.018,20.037
4.784,-0.311,5.977,0.017,0.196,-0.016,20.027
4.816,-0.294,5.965,0.016,0.198,-0.019,20.049
4.773,-0.253,5.968,0.018,0.193,-0.014,20.048
4.792,-0.243,6.001,0.013,0.190,-0.007,20.007
4.814,-0.269,5.975,0.011,0.191,-0.018,20.017
4.830,-0.258,5.900,0.013,0.201,-0.003,20.034
4.764,-0.284,6.025,0.015,0.188,-0.023,20.047
4.816,-0.336,6.014,0.019,0.193,-0.013,20.017
4.815,-0.286,6.029,0.017,0.199,-0.019,20.052
4.784,-0.259,5.990,0.010,0.188,-0.013,20.038
4.813,-0.270,5.959,0.003,0.198,-0.010,20.043
4.804,-0.249,5.899,0.009,0.199,-0.026,20.026
4.790,-0.255,5.942,0.026,0.196,-0.007,20.039
4.793,-0.295,5.976,0.019,0.193,-0.021,20.014
4.790,-0.272,5.941,0.021,0.197,-0.012,20.028
4.794,-0.274,6.003,0.014,0.194,-0.016,20.048
4.798,-0.216,6.031,0.000,0.191,-0.018,20.046
4.808,-0.246,5.927,0.020,0.197,-0.007,20.006
4.801,-0.258,5.935,0.018,0.195,-0.018,20.030
4.792,-0.303,5.977,0.017,0.195,-0.017,20.031
4.780,-0.326,5.955,0.019,0.195,-0.018,20.004
4.806,-0.256,5.975,0.015,0.188,-0.012,19.989
4.771,-0.316,6.030,0.022,0.188,-0.010,19.987
4.776,-0.285,5.995,0.014,0.195,-0.019,20.033
4.813,-0.327,5.951,0.018,0.195,-0.009,20.022
4.746,-0.268,6.039,0.016,0.185,-0.016,19.997
4.779,-0.253,6.054,0.013,0.193,-0.011,20.035
4.830,-0.259,5.943,0.008,0.197,-0.012,20.030
4.774,-0.251,5.945,0.012,0.192,-0.016,19.999
4.787,-0.277,5.986,0.021,0.195,-0.016,19.987
4.801,-0.237,5.978,0.016,0.193,-0.016,20.048
4.826,-0.239,5.946,0.014,0.200,-0.009,20.017
4.784,-0.231,6.031,0.011,0.193,-0.012,20.033
4.749,-0.242,6.043,0.006,0.187,-0.009,20.011
4.850,-0.164,5.946,0.008,0.200,-0.004,20.008
4.814,-0.283,5.880,0.021,0.197,-0.015,20.037
4.782,-0.315,5.986,0.023,0.193,-0.015,20.047
4.790,-0.259,6.039,0.008,0.187,-0.013,20.036
4.798,-0.258,5.992,0.001,0.196,-0.009,20.032
4.804,-0.259,5.957,0.015,0.191,-0.011,20.017
4.800,-0.286,5.953,0.016,0.195,-0.011,20.016
4.761,-0.303,6.021,0.016,0.188,-0.015,20.038
4.818,-0.298,5.956,0.021,0.199,-0.016,20.021
4.779,-0.264,5.941,0.022,0.197,-0.015,19.999
4.774,-0.250,6.040,0.019,0.188,-0.013,20.000
4.773,-0.225,6.061,0.011,0.196,-0.011,20.040
4.813,-0.259,6.032,0.013,0.195,-0.012,20.040
4.773,-0.236,5.998,0.013,0.192,-0.013,20.018
4.789,-0.306,5.985,0.016,0.194,-0.015,20.020
4.817,-0.215,6.011,0.014,0.197,-0.018,20.042
4.784,-0.283,6.014,0.005,0.187,-0.015,20.032
4.762,-0.261,5.969,0.014,0.188,-0.013,20.016
4.829,-0.266,5.877,0.015,0.198,-0.019,20.007
4.837,-0.273,5.909,0.013,0.197,-0.014,20.048
4.750,-0.317,5.997,0.022,0.187,-0.013,20.044
4.811,-0.307,5.925,0.014,0.195,-0.009,20.017
4.822,-0.315,6.041,0.020,0.196,-0.022,19.995
4.752,-0.295,6.062,0.019,0.186,-0.014,20.019
4.758,-0.290,5.978,0.007,0.192,-0.018,20.051
4.795,-0.206,6.007,0.000,0.199,-0.010,20.031
4.817,-0.266,5.955,0.020,0.198,-0.010,20.040
4.757,-0.272,6.018,0.027,0.189,-0.020,19.997
4.800,-0.258,5.992,0.009,0.195,-0.015,20.003
4.798,-0.238,6.050,0.005,0.194,-0.019,20.030
4.777,-0.309,6.018,0.016,0.195,-0.016,20.033
4.793,-0.319,5.966,0.028,0.193,-0.010,20.018
4.794,-0.253,6.090,0.007,0.189,-0.015,20.013
4.816,-0.269,5.946,0.014,0.195,-0.015,20.045
4.718,-0.264,6.001,0.011,0.186,-0.007,20.032
4.827,-0.257,6.026,0.020,0.193,-0.010,20.023
4.797,-0.205,6.051,0.005,0.190,-0.009,19.999
4.779,-0.300,5.913,0.011,0.193,-0.015,20.033
4.795,-0.283,5.931,0.020,0.197,-0.014,20.037
4.798,-0.261,5.963,0.012,0.195,-0.010,20.020
4.811,-0.261,5.964,0.012,0.192,-0.014,20.018
4.786,-0.268,5.858,0.020,0.196,-0.010,20.019
4.828,-0.338,5.895,0.025,0.199,-0.018,20.013
4.787,-0.326,5.976,0.016,0.192,-0.021,20.044
4.800,-0.285,5.940,0.014,0.197,-0.009,20.016
4.785,-0.290,5.988,0.018,0.192,-0.024,20.016
4.770,-0.270,6.062,0.013,0.190,-0.016,20.013
4.777,-0.273,5.971,0.015,0.192,-0.013,20.031
4.805,-0.259,5.985,0.019,0.192,-0.015,20.005
4.805,-0.219,5.974,0.010,0.196,-0.013,20.030
4.807,-0.239,5.866,0.011,0.198,-0.018,20.026
4.801,-0.273,5.874,0.023,0.195,-0.009,20.019
4.807,-0.305,5.991,0.023,0.199,-0.023,20.027
4.745,-0.296,6.034,0.017,0.191,-0.020,20.054
4.818,-0.332,5.987,0.018,0.191,-0.019,20.041
4.806,-0.284,5.914,0.015,0.196,-0.023,20.029
4.760,-0.281,5.959,0.009,0.192,-0.008,20.065
4.797,-0.247,5.972,0.021,0.197,-0.014,20.030
4.814,-0.304,5.893,0.023,0.199,-0.020,20.021
4.775,-0.278,5.995,0.018,0.189,-0.011,20.023
4.800,-0.228,6.008,0.011,0.192,-0.017,20.007
4.772,-0.292,5.914,0.010,0.195,-0.011,19.989
4.830,-0.272,5.968,0.016,0.195,-0.018,20.037
4.751,-0.238,6.020,0.016,0.189,-0.005,20.035
4.799,-0.252,5.948,0.008,0.190,-0.017,19.998
4.826,-0.298,5.905,0.025,0.202,-0.012,20.026
4.779,-0.294,6.019,0.014,0.186,-0.014,20.040
4.794,-0.283,5.981,0.007,0.194,-0.018,20.046
4.824,-0.246,5.964,0.020,0.199,-0.011,20.028
4.755,-0.247,5.987,0.012,0.192,-0.016,20.025
4.784,-0.283,5.997,0.020,0.194,-0.012,20.005
4.796,-0.265,6.023,0.012,0.195,-0.019,20.026
4.797,-0.252,5.983,0.010,0.193,-0.014,20.026
4.761,-0.296,6.030,0.023,0.188,-0.016,20.019
4.827,-0.297,5.880,0.017,0.196,-0.014,20.038
4.787,-0.220,5.895,0.009,0.194,-0.010,20.038
4.792,-0.283,6.012,0.010,0.187,-0.016,20.017
4.803,-0.317,5.963,0.020,0.193,-0.017,20.032
4.759,-0.289,5.996,0.016,0.187,-0.016,20.038
4.826,-0.240,5.933,0.009,0.195,-0.008,20.029
4.764,-0.282,5.971,0.014,0.195,-0.013,20.040
4.799,-0.242,6.023,0.019,0.193,-0.016,20.019
4.774,-0.267,5.916,0.019,0.194,-0.015,20.013
4.794,-0.296,5.984,0.015,0.196,-0.022,20.017
4.801,-0.301,5.938,0.023,0.198,-0.016,20.039
4.785,-0.321,6.001,0.026,0.189,-0.021,20.024
4.785,-0.291,5.950,0.018,0.192,-0.017,20.002
4.796,-0.270,5.998,0.017,0.193,-0.015,20.049
4.809,-0.301,5.926,0.018,0.193,-0.004,20.051
4.771,-0.261,6.008,0.015,0.188,-0.013,20.035
4.784,-0.284,6.023,0.013,0.193,-0.016,20.025
4.824,-0.264,5.981,0.014,0.199,-0.014,20.006
4.751,-0.212,5.936,0.011,0.192,-0.009,20.009
4.759,-0.249,6.042,0.010,0.189,-0.007,20.014
4.809,-0.263,5.989,0.014,0.192,-0.019,20.012
4.787,-0.251,5.944,0.018,0.197,-0.004,20.019
4.778,-0.249,5.907,0.007,0.196,-0.020,20.018
4.799,-0.260,5.904,0.000,0.197,-0.012,20.013
4.791,-0.319,5.862,0.026,0.196,-0.015,20.016
4.805,-0.267,6.010,0.020,0.191,-0.013,20.027
4.823,-0.278,5.965,0.016,0.193,-0.015,20.044
4.776,-0.326,5.921,0.013,0.192,-0.020,20.029
4.772,-0.307,5.960,0.019,0.189,-0.014,20.020
4.806,-0.275,6.011,0.013,0.189,-0.018,20.021
4.791,-0.273,6.033,0.016,0.193,-0.018,20.008
4.760,-0.261,6.099,0.013,0.189,-0.013,20.034
4.775,-0.282,5.986,0.015,0.190,-0.017,20.021
4.794,-0.266,5.910,0.015,0.196,-0.009,20.014
4.793,-0.244,5.971,0.017,0.190,-0.017,20.017
4.798,-0.262,5.917,0.017,0.192,-0.012,20.017
4.826,-0.224,5.873,0.009,0.203,-0.007,20.032
4.789,-0.259,5.957,0.014,0.194,-0.016,20.047
4.777,-0.278,5.872,0.026,0.191,-0.001,20.024
4.861,-0.291,5.917,0.015,0.202,-0.020,20.011
4.786,-0.347,6.016,0.025,0.190,-0.023,20.012
4.751,-0.293,6.081,0.011,0.186,-0.009,20.047
4.816,-0.196,5.976,0.004,0.194,-0.012,20.015
