4.996,-0.135,2.276,0.006,0.109,-0.001,10.035
4.912,-0.168,2.410,0.009,0.115,0.001,10.047
5.001,-0.184,2.204,0.009,0.116,0.001,10.016
5.001,-0.149,2.384,0.007,0.109,0.000,10.009
4.981,-0.180,2.260,0.014,0.115,0.002,10.062
4.965,-0.137,2.314,0.005,0.113,-0.000,10.049
4.986,-0.150,2.394,0.005,0.111,0.001,10.028
4.979,-0.171,2.162,0.010,0.111,-0.002,10.075
4.929,-0.141,2.384,0.005,0.115,-0.000,10.050
5.010,-0.217,2.143,0.011,0.113,0.005,10.082
4.990,-0.143,2.326,0.008,0.112,-0.002,10.057
4.956,-0.192,2.338,0.010,0.116,0.000,10.068
5.010,-0.137,2.219,0.007,0.109,-0.001,10.065
4.903,-0.157,2.444,0.007,0.115,0.000,10.039
4.974,-0.204,2.227,0.011,0.115,0.002,10.036
4.964,-0.128,2.340,0.005,0.113,0.000,10.054
4.974,-0.201,2.394,0.013,0.114,0.001,10.058
4.990,-0.130,2.200,0.009,0.111,0.001,10.048
4.897,-0.132,2.410,0.003,0.114,0.000,10.049
5.011,-0.182,2.244,0.009,0.111,0.002,10.055
4.934,-0.153,2.340,0.006,0.114,-0.003,10.022
4.994,-0.161,2.391,0.009,0.111,0.002,10.045
5.037,-0.185,2.165,0.011,0.113,0.001,10.027
4.940,-0.138,2.391,0.005,0.113,-0.002,10.054
4.930,-0.176,2.323,0.010,0.116,0.001,10.038
4.998,-0.173,2.229,0.011,0.115,0.001,10.021
4.952,-0.146,2.437,0.007,0.112,-0.001,10.017
4.981,-0.218,2.309,0.017,0.113,0.001,10.006
4.977,-0.111,2.260,0.006,0.113,0.005,10.009
4.915,-0.166,2.390,0.007,0.113,-0.001,10.049
5.060,-0.175,2.240,0.011,0.108,0.000,10.029
4.964,-0.142,2.356,0.002,0.111,0.002,10.017
4.922,-0.205,2.370,0.016,0.116,0.002,10.027
5.017,-0.126,2.184,0.007,0.114,0.000,10.030
