Fx,Fy,Fz,Tx,Ty,Tz,V
1.141,-0.038,-0.505,-0.001,0.090,-0.006,10.035
1.249,-0.024,-0.406,0.001,0.083,-0.003,10.043
1.175,-0.042,-0.521,0.002,0.090,-0.003,10.053
1.280,-0.049,-0.505,-0.000,0.081,-0.005,10.031
1.146,-0.038,-0.480,0.001,0.088,-0.002,10.035
1.158,-0.024,-0.493,-0.000,0.089,-0.004,10.017
1.303,-0.037,-0.478,-0.000,0.082,-0.003,10.012
1.180,-0.052,-0.564,0.002,0.089,-0.002,10.010
1.218,-0.024,-0.460,-0.002,0.083,-0.003,10.029
1.125,-0.037,-0.483,-0.000,0.091,-0.005,10.019
1.226,-0.039,-0.555,0.001,0.086,-0.002,10.013
1.240,-0.029,-0.478,-0.001,0.083,-0.002,10.015
1.163,-0.054,-0.500,0.003,0.090,-0.008,10.008
1.232,-0.034,-0.472,0.003,0.084,-0.002,10.030
1.122,-0.044,-0.556,0.002,0.091,-0.003,10.037
1.254,-0.045,-0.519,-0.000,0.084,-0.007,10.018
1.246,-0.022,-0.484,-0.002,0.086,-0.005,10.063
1.185,-0.022,-0.465,0.003,0.086,-0.004,10.043
1.250,-0.043,-0.540,0.000,0.086,-0.001,10.029
1.241,-0.033,-0.518,0.001,0.085,-0.005,9.998
1.191,-0.014,-0.514,-0.002,0.085,-0.003,10.021
1.152,-0.019,-0.516,-0.001,0.089,-0.000,10.041
1.237,-0.060,-0.523,-0.000,0.085,-0.002,10.033
1.256,-0.032,-0.562,-0.001,0.083,-0.005,10.021
1.167,-0.041,-0.538,-0.001,0.087,-0.002,10.040
1.237,-0.028,-0.438,0.003,0.087,-0.003,10.058
1.095,-0.045,-0.519,0.005,0.092,-0.006,10.032
1.222,-0.069,-0.544,0.005,0.085,-0.005,10.076
1.247,-0.064,-0.495,0.001,0.084,-0.007,10.053
1.200,-0.035,-0.474,-0.002,0.088,-0.002,10.033
1.177,-0.024,-0.493,-0.002,0.088,-0.004,10.019
1.174,-0.007,-0.528,-0.000,0.087,-0.005,10.025
1.204,-0.035,-0.624,0.000,0.088,-0.001,10.033
1.249,-0.023,-0.484,0.002,0.084,-0.005,10.057
1.202,-0.025,-0.510,0.002,0.086,-0.011,10.061
1.239,-0.063,-0.539,0.003,0.085,-0.003,10.040
1.205,-0.038,-0.588,0.002,0.087,-0.001,10.032
1.237,-0.037,-0.508,-0.000,0.084,-0.006,10.027
1.174,-0.018,-0.494,-0.001,0.087,-0.006,10.059
1.208,-0.051,-0.525,0.002,0.087,-0.003,10.049
1.205,-0.070,-0.557,0.002,0.087,-0.005,10.036
1.199,-0.051,-0.504,0.000,0.087,-0.006,10.050
1.154,-0.035,-0.524,-0.000,0.088,-0.005,10.067
1.170,-0.044,-0.460,0.002,0.089,-0.004,10.062
1.200,-0.043,-0.533,0.002,0.086,-0.005,10.060
1.269,-0.024,-0.573,0.001,0.082,-0.003,10.048
1.159,-0.023,-0.481,-0.001,0.089,-0.007,10.066
1.198,-0.015,-0.486,-0.001,0.086,-0.006,10.064
1.234,-0.019,-0.525,-0.000,0.086,-0.002,10.059
1.203,-0.050,-0.580,-0.000,0.088,-0.002,10.051
1.229,-0.039,-0.550,-0.001,0.084,-0.007,10.038
1.208,-0.024,-0.475,0.001,0.085,-0.007,10.054
1.215,-0.049,-0.547,-0.000,0.086,-0.003,10.039
1.215,-0.039,-0.581,0.000,0.087,-0.004,10.056
1.241,-0.030,-0.475,0.001,0.086,-0.002,10.069
1.089,-0.038,-0.522,0.000,0.091,-0.001,10.048
1.210,-0.036,-0.548,-0.001,0.085,-0.002,10.058
1.226,-0.045,-0.566,0.001,0.084,-0.003,10.051
1.176,-0.021,-0.528,-0.001,0.087,-0.003,10.026
1.176,-0.049,-0.458,0.002,0.091,-0.003,10.022
1.281,-0.065,-0.551,0.005,0.085,-0.005,10.051
1.209,-0.036,-0.502,0.001,0.087,-0.003,10.040
1.130,-0.041,-0.551,0.001,0.090,-0.005,10.018
1.220,-0.028,-0.437,0.000,0.084,-0.002,10.045
1.244,-0.037,-0.521,0.001,0.082,-0.002,10.041
1.216,-0.041,-0.579,-0.002,0.087,-0.006,10.037
1.181,-0.017,-0.445,0.001,0.087,-0.001,10.027
1.148,-0.030,-0.523,0.001,0.089,-0.004,10.054
1.212,-0.031,-0.588,0.001,0.086,-0.003,10.034
1.199,-0.029,-0.531,-0.001,0.087,-0.003,10.050
1.218,-0.011,-0.479,-0.000,0.085,-0.002,10.028
1.234,-0.033,-0.523,0.002,0.085,-0.003,10.047
1.186,-0.051,-0.603,-0.001,0.087,-0.004,10.039
1.220,-0.016,-0.461,0.000,0.084,-0.003,10.045
1.185,-0.055,-0.503,0.003,0.086,-0.002,10.050
1.274,-0.037,-0.628,-0.000,0.085,-0.006,10.057
1.125,-0.038,-0.519,0.004,0.091,-0.003,10.074
1.168,-0.048,-0.474,0.003,0.088,-0.001,10.055
1.281,-0.042,-0.516,0.002,0.083,-0.005,10.018
1.230,-0.059,-0.517,0.003,0.084,-0.010,10.037
1.153,-0.040,-0.510,0.001,0.089,-0.001,10.043
1.214,-0.041,-0.449,0.002,0.086,-0.001,10.048
1.214,-0.044,-0.590,0.001,0.088,-0.005,10.068
1.166,-0.040,-0.572,-0.002,0.089,-0.006,10.064
1.200,-0.028,-0.439,0.001,0.084,-0.002,10.032
1.184,-0.040,-0.507,0.001,0.087,-0.002,10.048
1.227,-0.056,-0.574,0.003,0.086,-0.004,10.085
1.197,-0.038,-0.507,-0.001,0.086,-0.006,10.076
1.196,-0.025,-0.465,-0.000,0.089,-0.001,10.035
1.200,-0.026,-0.495,-0.002,0.087,-0.004,10.034
1.177,-0.032,-0.569,-0.002,0.087,-0.004,10.045
1.247,-0.039,-0.519,0.001,0.084,-0.001,10.060
1.167,-0.040,-0.474,0.002,0.086,-0.005,10.052
1.171,-0.036,-0.508,0.003,0.088,-0.004,10.052
1.202,-0.025,-0.585,-0.000,0.089,-0.003,10.030
1.248,-0.011,-0.461,0.000,0.083,-0.004,10.049
1.169,-0.033,-0.475,0.002,0.087,-0.000,10.028
1.238,-0.044,-0.544,0.001,0.084,-0.005,10.039
1.146,-0.024,-0.590,-0.001,0.088,-0.006,10.046
1.215,-0.039,-0.481,0.000,0.084,-0.003,10.015
1.218,-0.031,-0.480,0.001,0.087,-0.004,10.028
1.261,-0.035,-0.465,-0.000,0.086,-0.007,10.045
1.201,-0.041,-0.601,0.001,0.087,-0.003,10.041
1.155,-0.033,-0.509,0.000,0.088,-0.001,10.038
1.214,-0.021,-0.492,-0.000,0.087,-0.006,10.019
1.213,-0.027,-0.506,0.001,0.087,-0.001,10.053
1.283,-0.062,-0.570,0.002,0.082,-0.002,10.068
1.190,-0.021,-0.506,0.002,0.088,-0.003,10.025
1.109,-0.040,-0.505,0.000,0.091,-0.005,10.021
1.254,-0.048,-0.553,0.001,0.084,-0.005,10.049
1.222,-0.055,-0.576,0.001,0.086,-0.004,10.031
1.157,-0.024,-0.546,-0.000,0.090,-0.007,10.047
1.223,-0.062,-0.459,0.003,0.085,-0.005,10.054
1.149,-0.052,-0.603,0.004,0.091,-0.003,10.045
1.306,-0.034,-0.491,0.002,0.080,-0.004,10.023
1.198,-0.032,-0.447,-0.002,0.084,-0.007,10.036
1.167,-0.033,-0.500,0.001,0.089,-0.001,10.042
1.182,-0.046,-0.551,-0.000,0.089,-0.002,10.013
1.309,-0.048,-0.515,-0.001,0.081,-0.005,10.045
1.162,-0.034,-0.497,0.001,0.089,-0.002,10.030
1.144,-0.032,-0.489,-0.001,0.086,-0.002,10.032
1.202,-0.049,-0.589,0.001,0.086,-0.004,10.028
1.229,-0.058,-0.550,0.003,0.088,-0.001,10.032
1.194,-0.020,-0.446,0.003,0.087,-0.001,10.046
1.173,-0.027,-0.483,0.002,0.087,-0.007,10.039
1.185,-0.058,-0.604,0.001,0.089,-0.004,10.028
1.259,-0.031,-0.436,0.001,0.082,-0.001,10.028
1.169,-0.044,-0.452,0.004,0.088,-0.004,10.039
1.207,-0.036,-0.567,0.000,0.087,-0.006,10.034
1.253,-0.012,-0.481,-0.000,0.081,-0.002,10.035
1.147,-0.037,-0.490,-0.003,0.089,-0.001,10.023
1.159,-0.045,-0.492,0.001,0.088,-0.007,10.041
1.290,-0.044,-0.532,0.003,0.083,-0.005,10.027
1.209,-0.052,-0.527,0.001,0.086,-0.005,10.045
1.175,-0.018,-0.473,0.001,0.088,-0.004,10.051
1.187,-0.032,-0.475,-0.001,0.089,-0.006,10.019
1.190,-0.047,-0.569,0.000,0.086,-0.003,10.030
1.170,-0.029,-0.570,-0.001,0.088,-0.002,10.024
1.206,-0.025,-0.511,-0.001,0.086,-0.006,10.019
1.246,-0.019,-0.447,0.001,0.086,-0.004,10.033
1.193,-0.046,-0.549,0.002,0.085,-0.001,10.017
1.201,-0.028,-0.584,-0.001,0.085,-0.004,10.019
1.182,-0.031,-0.469,0.001,0.086,-0.004,10.036
1.204,-0.047,-0.482,0.000,0.086,-0.003,10.031
1.238,-0.023,-0.589,-0.001,0.087,-0.001,10.044
1.171,-0.039,-0.537,0.001,0.088,-0.006,10.038
1.271,-0.027,-0.415,-0.000,0.083,-0.005,10.051
1.175,-0.041,-0.579,0.002,0.087,-0.001,10.035
1.182,-0.069,-0.561,0.001,0.089,-0.004,10.036
1.213,-0.027,-0.492,-0.000,0.085,-0.006,10.039
1.210,-0.026,-0.430,-0.000,0.085,-0.002,10.038
1.189,-0.046,-0.528,-0.000,0.089,-0.002,10.046
1.237,-0.057,-0.534,0.002,0.083,-0.005,10.047
1.147,-0.048,-0.501,-0.001,0.087,-0.005,10.019
1.211,-0.052,-0.471,-0.001,0.086,-0.004,10.020
1.239,-0.043,-0.495,0.001,0.085,-0.004,10.035
1.190,-0.045,-0.517,0.001,0.087,-0.004,10.056
1.172,-0.038,-0.483,0.002,0.088,-0.004,10.031
1.204,-0.045,-0.440,0.001,0.085,-0.002,10.055
1.217,-0.040,-0.568,0.001,0.086,-0.004,10.045
1.168,-0.043,-0.531,0.001,0.086,-0.004,10.058
1.189,-0.038,-0.436,0.000,0.086,-0.005,10.042
1.215,-0.041,-0.497,0.003,0.086,-0.001,10.042
1.161,-0.057,-0.564,0.003,0.089,-0.002,10.049
1.246,-0.054,-0.471,0.001,0.085,-0.008,10.038
1.214,0.002,-0.459,-0.002,0.086,-0.003,10.075
1.200,-0.049,-0.558,-0.001,0.087,-0.001,10.065
1.191,-0.047,-0.585,-0.000,0.084,-0.002,10.048
1.205,-0.008,-0.452,0.001,0.085,-0.003,10.019
1.191,-0.046,-0.503,-0.000,0.088,-0.005,10.054
1.228,-0.039,-0.591,-0.002,0.083,-0.001,10.040
1.235,-0.022,-0.499,0.000,0.082,-0.003,10.035
1.136,-0.036,-0.499,-0.000,0.091,-0.001,10.034
1.186,-0.030,-0.533,0.001,0.089,-0.004,10.046
1.215,-0.045,-0.585,0.001,0.087,-0.002,10.065
1.233,-0.030,-0.484,-0.004,0.085,-0.000,10.043
1.204,-0.013,-0.432,0.001,0.087,-0.003,10.073
1.197,-0.052,-0.552,-0.000,0.085,-0.006,10.041
1.229,-0.041,-0.562,-0.000,0.086,-0.001,10.041
1.170,-0.025,-0.462,0.003,0.088,0.001,10.043
1.243,-0.058,-0.534,0.002,0.086,-0.006,10.066
1.235,-0.036,-0.558,-0.001,0.085,-0.003,10.069
1.179,-0.021,-0.438,0.001,0.087,0.000,10.031
1.132,-0.043,-0.534,0.000,0.089,-0.003,10.044
1.206,-0.037,-0.587,0.001,0.086,-0.004,10.041
1.194,-0.033,-0.529,0.001,0.089,-0.001,10.061
1.203,-0.054,-0.492,0.003,0.085,-0.004,10.068
1.256,-0.030,-0.488,-0.000,0.083,-0.002,10.065
1.165,-0.051,-0.572,-0.000,0.089,-0.004,10.059
1.221,-0.011,-0.475,-0.004,0.086,-0.002,10.032
1.183,-0.030,-0.471,0.003,0.087,-0.001,10.069
1.188,-0.053,-0.629,0.004,0.089,-0.003,10.048
1.283,-0.023,-0.500,0.001,0.082,-0.005,10.042
1.128,-0.026,-0.456,-0.000,0.090,-0.003,10.043
1.198,-0.038,-0.533,-0.003,0.087,-0.000,10.041
1.243,-0.021,-0.544,-0.002,0.085,-0.000,10.060
1.210,-0.013,-0.454,-0.003,0.084,-0.003,10.050
1.164,-0.053,-0.537,0.002,0.088,-0.001,10.053
1.263,-0.039,-0.545,0.002,0.085,-0.002,10.022
1.146,-0.040,-0.538,-0.002,0.090,-0.003,10.037
1.224,-0.040,-0.490,0.001,0.084,-0.002,10.070
1.196,-0.040,-0.496,0.001,0.086,-0.003,10.060
1.213,-0.043,-0.571,-0.001,0.085,-0.004,10.039
1.249,-0.021,-0.428,-0.001,0.085,-0.001,10.028
1.127,-0.046,-0.521,0.001,0.092,-0.005,10.061
1.246,-0.049,-0.603,0.001,0.085,-0.003,10.063
1.212,-0.026,-0.490,0.001,0.085,0.001,10.058
1.237,-0.018,-0.482,-0.001,0.084,-0.003,10.075
1.191,-0.045,-0.542,0.001,0.087,-0.003,10.062
1.220,-0.047,-0.538,0.005,0.087,-0.003,10.061
1.160,-0.030,-0.458,0.002,0.087,-0.004,10.049
1.228,-0.033,-0.513,0.002,0.087,-0.004,10.032
1.213,-0.054,-0.535,0.003,0.087,-0.004,10.032
1.202,-0.022,-0.502,-0.002,0.087,-0.004,10.033
1.256,-0.030,-0.458,0.001,0.084,-0.002,10.046
1.222,-0.027,-0.544,-0.002,0.088,-0.005,10.058
1.235,-0.048,-0.536,-0.000,0.086,-0.006,10.057
1.169,-0.033,-0.481,0.002,0.088,-0.002,10.049
1.205,-0.030,-0.444,0.000,0.088,-0.003,10.032
1.229,-0.049,-0.571,0.002,0.085,-0.003,10.056
1.274,-0.026,-0.565,0.000,0.085,-0.001,10.099
1.248,-0.024,-0.449,-0.002,0.087,-0.004,10.058
1.147,-0.028,-0.476,-0.002,0.091,-0.003,10.053
1.228,-0.048,-0.512,0.004,0.088,-0.004,10.047
1.280,-0.045,-0.569,0.003,0.082,-0.004,10.023
1.209,-0.044,-0.467,0.001,0.086,-0.005,10.058
1.146,-0.025,-0.460,0.002,0.091,-0.006,10.051
1.234,-0.047,-0.524,-0.000,0.085,-0.003,10.081
1.214,-0.053,-0.626,-0.001,0.085,-0.002,10.050
1.187,-0.013,-0.498,-0.001,0.086,-0.003,10.062
1.179,-0.037,-0.452,0.000,0.089,-0.001,10.075
1.261,-0.037,-0.514,-0.001,0.086,-0.002,10.051
1.254,-0.041,-0.593,0.002,0.089,-0.005,10.045
1.215,-0.041,-0.510,0.003,0.086,-0.006,10.058
1.199,-0.041,-0.426,0.002,0.085,-0.002,10.037
1.137,-0.052,-0.554,0.002,0.091,-0.003,10.048
1.249,-0.049,-0.507,0.003,0.084,-0.004,10.035
1.214,-0.051,-0.471,0.002,0.086,-0.004,10.023
1.227,-0.034,-0.451,0.001,0.086,-0.003,10.047
1.157,-0.043,-0.518,0.001,0.090,-0.004,10.061
1.230,-0.053,-0.558,-0.001,0.085,-0.003,10.056
1.191,-0.023,-0.499,-0.002,0.087,-0.005,10.061
1.206,-0.004,-0.511,-0.000,0.088,-0.004,10.062
1.188,-0.030,-0.534,0.001,0.089,0.001,10.055
1.227,-0.034,-0.601,-0.000,0.084,-0.002,10.027
1.211,-0.015,-0.507,0.000,0.088,-0.003,10.036
1.240,-0.041,-0.498,0.001,0.085,-0.002,10.053
1.233,-0.044,-0.522,-0.001,0.084,-0.002,10.048
1.174,-0.035,-0.593,0.002,0.090,-0.003,10.047
1.211,-0.053,-0.423,0.005,0.085,-0.003,10.082
1.169,-0.073,-0.481,0.003,0.088,-0.006,10.053
1.141,-0.034,-0.571,0.003,0.093,-0.007,10.045
1.294,-0.043,-0.474,0.001,0.081,-0.003,10.076
1.191,-0.016,-0.431,-0.002,0.087,-0.003,10.032
1.203,-0.007,-0.507,0.001,0.085,-0.003,10.050
1.204,-0.030,-0.573,-0.001,0.091,-0.004,10.041
1.319,-0.047,-0.551,0.000,0.083,-0.004,10.060
1.203,-0.027,-0.552,-0.001,0.089,-0.006,10.027
1.228,-0.021,-0.490,-0.001,0.085,-0.004,10.067
1.168,-0.045,-0.557,-0.000,0.089,-0.006,10.056
1.171,-0.033,-0.550,0.003,0.091,-0.006,10.023
1.272,-0.078,-0.543,0.006,0.086,-0.001,10.037
1.208,-0.057,-0.541,0.003,0.090,-0.007,10.077
1.217,-0.035,-0.432,-0.001,0.086,-0.007,10.067
1.257,-0.043,-0.436,0.002,0.085,-0.003,10.071
1.196,-0.045,-0.529,-0.000,0.088,-0.004,10.055
1.260,-0.047,-0.548,0.000,0.085,-0.006,10.050
1.192,-0.035,-0.547,-0.003,0.092,-0.005,10.022
1.211,-0.025,-0.504,-0.003,0.087,-0.003,10.032
1.249,-0.014,-0.504,-0.001,0.085,-0.009,10.044
1.186,-0.024,-0.517,0.003,0.088,-0.005,10.046
1.243,-0.061,-0.553,0.003,0.089,-0.005,10.049
1.272,-0.046,-0.592,0.001,0.085,-0.009,10.042
1.269,-0.034,-0.477,0.001,0.084,-0.006,10.019
1.200,-0.035,-0.470,0.001,0.087,-0.001,10.049
1.127,-0.043,-0.544,-0.001,0.090,-0.005,10.032
1.268,-0.036,-0.540,0.001,0.085,-0.005,10.037
1.199,-0.059,-0.536,0.002,0.092,-0.002,10.029
1.281,-0.053,-0.462,0.002,0.084,-0.007,10.048
1.201,-0.031,-0.422,0.001,0.087,-0.006,10.042
1.163,-0.038,-0.490,-0.000,0.090,-0.005,10.028
1.255,-0.037,-0.545,-0.001,0.086,-0.004,10.035
1.273,-0.016,-0.526,-0.001,0.083,-0.003,10.052
1.165,-0.024,-0.521,-0.002,0.090,-0.004,10.050
1.222,-0.014,-0.505,-0.004,0.087,-0.007,10.046
1.239,-0.010,-0.498,-0.001,0.086,-0.005,10.051
1.237,-0.051,-0.532,0.001,0.086,-0.007,10.059
1.294,-0.057,-0.545,0.004,0.085,-0.007,10.054
1.206,-0.045,-0.540,0.002,0.088,-0.003,10.010
1.223,-0.052,-0.455,0.002,0.086,-0.007,10.038
1.157,-0.043,-0.502,-0.000,0.090,-0.004,10.047
1.181,-0.024,-0.516,0.002,0.088,-0.003,10.021
1.218,-0.077,-0.499,0.001,0.085,-0.004,10.024
1.233,-0.037,-0.470,-0.000,0.087,-0.003,10.036
1.213,-0.017,-0.451,-0.002,0.089,-0.004,10.026
1.164,-0.026,-0.489,-0.002,0.090,-0.003,10.033
1.212,-0.037,-0.585,-0.002,0.086,-0.002,10.041
1.218,-0.013,-0.581,-0.003,0.087,-0.006,10.046
1.240,-0.016,-0.522,-0.000,0.086,-0.004,10.035
1.219,-0.048,-0.504,-0.001,0.088,-0.005,10.001
1.241,-0.039,-0.547,0.004,0.087,-0.007,10.003
1.219,-0.063,-0.549,0.004,0.088,-0.002,10.015
1.263,-0.066,-0.495,0.002,0.082,-0.003,10.024
1.201,-0.044,-0.487,0.001,0.086,-0.005,10.024
1.156,-0.029,-0.446,0.002,0.092,-0.004,10.027
1.197,-0.040,-0.509,0.001,0.089,-0.005,10.020
1.207,-0.031,-0.536,0.002,0.088,-0.005,10.028
1.200,-0.042,-0.552,0.002,0.087,-0.007,10.013
1.239,-0.051,-0.512,0.002,0.085,-0.006,10.026
1.271,-0.015,-0.472,-0.000,0.084,-0.007,10.034
1.235,-0.011,-0.501,0.001,0.087,-0.007,10.029
1.214,-0.046,-0.532,0.004,0.090,-0.004,10.034
1.224,-0.060,-0.559,-0.000,0.087,-0.005,10.044
1.225,-0.045,-0.513,0.004,0.085,-0.007,10.021
1.212,-0.063,-0.566,0.002,0.087,-0.003,10.023
1.300,-0.047,-0.465,0.002,0.085,-0.006,10.022
1.200,-0.015,-0.475,-0.000,0.090,-0.006,10.044
1.178,-0.027,-0.506,0.001,0.089,-0.005,10.032
1.190,-0.046,-0.527,0.002,0.088,-0.004,10.028
1.181,-0.040,-0.577,0.003,0.089,-0.006,10.037
1.265,-0.054,-0.504,0.002,0.084,-0.005,10.040
1.234,-0.017,-0.520,-0.003,0.087,-0.005,10.015
1.217,0.007,-0.505,-0.002,0.087,-0.005,10.031
1.225,-0.024,-0.522,-0.003,0.085,-0.005,10.039
1.184,-0.050,-0.628,0.002,0.090,-0.001,10.028
1.234,-0.042,-0.595,0.003,0.085,-0.006,10.020
1.177,-0.054,-0.552,0.002,0.088,-0.006,10.033
1.301,-0.055,-0.429,0.004,0.081,-0.002,10.026
1.139,-0.053,-0.466,0.004,0.091,-0.003,10.025
1.189,-0.044,-0.520,0.000,0.089,-0.011,10.039
1.260,-0.037,-0.536,-0.000,0.086,-0.006,10.030
1.223,-0.052,-0.522,0.003,0.086,-0.001,10.048
1.163,-0.036,-0.559,0.000,0.089,-0.007,10.043
1.272,-0.010,-0.490,-0.001,0.084,-0.009,10.040
1.238,-0.011,-0.514,0.002,0.087,-0.005,10.013
1.163,-0.038,-0.545,0.001,0.088,-0.003,10.034
1.233,-0.035,-0.558,0.001,0.088,-0.008,10.038
1.251,-0.054,-0.567,0.003,0.086,-0.003,10.024
1.199,-0.049,-0.561,0.001,0.089,-0.002,10.032
1.236,-0.035,-0.506,-0.001,0.085,-0.006,10.005
1.232,-0.030,-0.462,-0.000,0.087,-0.006,10.007
1.199,-0.036,-0.483,-0.001,0.088,-0.001,10.037
1.228,-0.040,-0.516,-0.000,0.086,-0.004,10.046
1.185,-0.032,-0.595,0.001,0.089,-0.006,10.027
