Fx,Fy,Fz,Tx,Ty,Tz,V
1.243,-0.019,-0.461,0.001,0.084,-0.003,10.035
1.231,-0.023,-0.567,-0.000,0.088,-0.007,10.007
1.260,-0.015,-0.494,0.001,0.084,-0.006,10.029
1.228,-0.054,-0.527,0.004,0.087,-0.005,10.012
1.243,-0.057,-0.546,0.001,0.084,-0.006,10.018
1.213,-0.048,-0.528,0.003,0.088,-0.006,10.032
1.198,-0.046,-0.482,0.002,0.088,-0.004,10.006
1.215,-0.046,-0.474,0.002,0.088,-0.003,10.020
1.161,-0.032,-0.435,0.001,0.088,-0.006,10.041
1.204,-0.050,-0.490,0.002,0.088,-0.006,10.050
1.173,-0.038,-0.557,0.003,0.088,-0.003,10.040
1.226,-0.012,-0.548,0.001,0.087,-0.002,10.020
1.219,-0.035,-0.544,0.001,0.088,-0.006,10.031
1.290,-0.037,-0.522,0.001,0.084,-0.004,10.012
1.199,-0.019,-0.476,-0.000,0.087,-0.004,10.027
1.261,-0.042,-0.468,0.002,0.084,-0.003,10.009
1.197,-0.053,-0.475,0.000,0.087,-0.004,10.028
1.202,-0.050,-0.486,0.001,0.087,-0.004,10.006
1.185,-0.024,-0.532,-0.001,0.089,-0.004,10.022
1.197,-0.032,-0.563,0.000,0.089,-0.006,10.013
1.240,-0.030,-0.566,0.000,0.086,-0.006,10.015
1.251,-0.020,-0.515,0.003,0.085,-0.008,10.024
1.252,-0.042,-0.496,0.002,0.085,-0.007,10.018
1.244,-0.053,-0.526,0.001,0.086,-0.003,10.031
1.170,-0.024,-0.506,0.000,0.089,-0.005,10.010
1.197,-0.056,-0.467,0.001,0.086,-0.005,10.013
1.219,-0.039,-0.478,-0.002,0.086,-0.002,10.001
1.205,-0.018,-0.505,-0.001,0.086,-0.004,10.008
1.187,-0.022,-0.558,0.001,0.089,-0.005,10.059
1.195,-0.039,-0.607,0.002,0.089,-0.005,10.038
1.272,-0.040,-0.529,0.003,0.085,-0.006,10.011
1.213,-0.040,-0.505,0.004,0.087,-0.006,10.015
1.183,-0.036,-0.542,0.002,0.089,-0.004,10.042
1.221,-0.040,-0.482,0.001,0.086,-0.004,10.016
1.174,-0.056,-0.513,0.001,0.089,-0.006,9.997
1.193,-0.056,-0.534,0.002,0.085,-0.001,10.011
1.250,-0.024,-0.552,-0.000,0.086,-0.007,10.037
1.228,-0.012,-0.576,0.001,0.088,-0.005,10.010
1.274,-0.034,-0.557,-0.002,0.083,-0.004,10.029
1.217,-0.045,-0.567,-0.000,0.090,-0.004,10.020
1.218,-0.027,-0.489,0.002,0.086,-0.007,10.025
1.254,-0.059,-0.449,0.003,0.085,-0.005,10.047
1.182,-0.058,-0.501,0.002,0.090,-0.003,10.018
1.215,-0.030,-0.495,0.001,0.087,-0.006,9.988
1.261,-0.027,-0.558,-0.001,0.085,-0.007,10.013
1.272,-0.021,-0.554,0.002,0.085,-0.002,10.020
1.236,-0.049,-0.553,0.002,0.087,-0.005,10.037
1.150,-0.023,-0.536,0.003,0.090,-0.006,10.028
1.210,-0.056,-0.458,0.003,0.088,-0.007,10.054
1.193,-0.066,-0.477,0.002,0.087,-0.003,10.048
1.163,-0.039,-0.502,0.002,0.092,-0.006,10.017
1.234,-0.027,-0.555,0.002,0.088,-0.007,10.021
1.236,-0.039,-0.569,0.002,0.087,-0.003,10.018
1.306,-0.024,-0.536,0.002,0.083,-0.007,10.032
