4.296,-0.088,4.797,0.007,0.235,0.014,7.147
4.278,-0.079,4.827,0.008,0.230,-0.003,7.157
4.391,-0.042,4.818,0.007,0.242,0.007,7.166
4.268,-0.076,4.810,0.007,0.235,0.006,7.172
4.286,-0.028,4.775,0.006,0.234,0.008,7.165
4.375,-0.072,4.858,0.004,0.246,0.005,7.172
4.281,-0.080,4.807,0.008,0.233,0.004,7.139
4.320,-0.058,4.802,0.012,0.238,0.007,7.166
4.298,-0.032,4.887,0.001,0.239,0.007,7.157
4.296,-0.088,4.857,0.013,0.231,0.006,7.173
4.345,-0.042,4.847,0.002,0.241,0.007,7.156
4.278,-0.052,4.743,0.000,0.236,0.009,7.158
4.317,-0.056,4.809,0.009,0.238,0.008,7.188
4.296,-0.069,4.812,0.005,0.234,0.005,7.128
4.347,-0.071,4.910,0.009,0.235,0.005,7.126
4.333,-0.074,4.820,0.011,0.235,0.005,7.129
4.280,-0.016,4.778,0.001,0.232,0.019,7.127
4.332,-0.078,4.775,0.003,0.243,-0.003,7.145
4.269,-0.081,4.813,0.011,0.234,0.010,7.143
4.267,-0.044,4.833,0.009,0.229,0.011,7.120
4.357,-0.077,4.831,0.007,0.244,-0.002,7.145
4.305,-0.101,4.861,0.011,0.235,0.011,7.133
4.263,-0.008,4.843,-0.002,0.232,0.007,7.162
4.335,-0.134,4.803,0.008,0.240,0.004,7.163
4.260,-0.050,4.810,0.007,0.227,0.006,7.151
4.338,-0.015,4.780,0.007,0.238,0.009,7.140
4.312,-0.121,4.834,0.012,0.237,0.001,7.161
4.249,-0.059,4.803,0.008,0.227,0.006,7.167
4.339,-0.044,4.792,-0.000,0.242,0.015,7.165
4.282,-0.080,4.785,-0.001,0.230,0.007,7.156
4.268,-0.039,4.805,0.006,0.231,0.009,7.150
4.331,-0.072,4.865,0.008,0.240,0.006,7.147
4.269,-0.089,4.869,0.012,0.230,0.001,7.148
4.342,-0.015,4.817,0.004,0.239,0.010,7.142
4.294,-0.104,4.838,0.009,0.236,0.002,7.183
4.308,-0.013,4.855,0.005,0.234,0.015,7.152
4.319,-0.062,4.810,-0.000,0.240,0.001,7.147
4.344,-0.098,4.824,0.013,0.243,0.006,7.137
4.272,-0.053,4.813,0.002,0.229,0.009,7.144
4.296,-0.091,4.872,0.003,0.233,0.004,7.178
