0.662,0.011,3.882,-0.003,0.075,0.012,7.524
0.731,0.045,3.835,0.008,0.087,-0.007,7.499
0.689,0.045,3.747,0.001,0.077,0.003,7.504
0.654,0.033,3.879,-0.000,0.076,-0.001,7.485
0.735,0.080,3.815,-0.003,0.078,-0.000,7.482
0.734,0.035,3.937,-0.003,0.088,0.013,7.489
0.743,0.044,3.916,-0.004,0.082,-0.010,7.487
0.633,0.052,3.753,-0.001,0.072,0.014,7.503
0.766,0.062,3.962,-0.004,0.090,-0.003,7.480
0.699,0.024,3.845,0.000,0.066,0.006,7.457
0.661,0.043,3.845,-0.004,0.081,-0.004,7.487
0.734,0.009,3.848,0.002,0.083,0.001,7.482
0.717,0.063,3.830,0.001,0.080,-0.000,7.492
0.629,0.018,3.849,0.006,0.079,-0.001,7.474
0.749,0.048,3.870,0.004,0.072,-0.000,7.463
0.712,0.054,3.880,-0.008,0.088,0.005,7.467
0.636,0.016,3.811,-0.001,0.069,0.000,7.478
0.700,0.039,3.793,0.008,0.086,0.000,7.503
0.728,0.069,3.883,0.004,0.085,0.004,7.491
0.673,-0.000,3.792,-0.002,0.073,-0.005,7.484
0.746,0.064,3.954,-0.002,0.080,0.007,7.491
0.664,0.013,3.853,-0.007,0.074,0.002,7.458
0.727,0.066,3.801,-0.001,0.080,0.005,7.496
0.704,0.050,3.883,0.003,0.083,0.004,7.469
0.674,0.036,3.854,-0.006,0.072,-0.001,7.510
0.713,0.058,3.839,-0.002,0.085,0.010,7.491
0.749,0.030,3.862,0.005,0.081,-0.003,7.483
0.640,0.044,3.838,0.004,0.076,0.001,7.473
0.751,0.072,3.841,-0.001,0.087,0.001,7.496
0.662,0.042,3.810,-0.001,0.076,0.003,7.501
0.616,0.096,3.817,-0.000,0.068,0.005,7.513
0.828,-0.003,3.941,0.009,0.091,-0.004,7.506
0.622,0.067,3.875,-0.006,0.065,0.003,7.529
0.713,0.032,3.771,-0.003,0.084,0.006,7.476
0.736,0.066,3.847,-0.002,0.085,-0.002,7.480
0.648,0.056,3.799,0.008,0.079,0.001,7.498
0.720,0.031,3.911,-0.001,0.073,-0.003,7.514
0.686,0.040,3.908,-0.004,0.081,0.006,7.467
0.711,0.061,3.817,-0.004,0.075,0.001,7.489
0.700,0.049,3.931,0.005,0.083,-0.000,7.465
0.667,0.076,3.765,0.001,0.076,0.006,7.472
0.652,0.019,3.864,0.002,0.071,-0.001,7.461
0.763,0.062,3.916,0.004,0.088,-0.002,7.483
0.682,0.013,3.848,0.008,0.071,0.002,7.483
0.695,0.027,3.922,0.006,0.079,-0.005,7.463
0.741,0.030,3.831,-0.003,0.087,0.005,7.519
0.636,0.046,3.887,0.003,0.064,0.001,7.482
0.743,0.037,3.821,0.003,0.087,0.001,7.508
0.730,0.064,3.827,0.002,0.077,0.006,7.507
0.618,0.025,3.826,0.003,0.084,-0.006,7.496
0.770,0.052,3.810,0.004,0.078,0.009,7.489
0.618,0.036,3.819,-0.003,0.076,-0.001,7.476
