1.072,-0.058,-2.832,0.011,0.158,-0.011,15.024
1.079,-0.032,-2.798,0.010,0.163,-0.009,15.026
1.117,-0.086,-2.831,0.006,0.161,-0.009,15.028
1.025,-0.097,-2.732,0.012,0.161,-0.010,15.018
1.085,-0.076,-2.689,0.008,0.161,-0.008,15.010
1.095,-0.091,-2.783,0.013,0.162,-0.008,15.049
1.039,-0.065,-2.815,0.014,0.161,-0.006,15.036
1.078,-0.096,-2.799,0.008,0.160,-0.011,15.041
1.129,-0.099,-2.862,0.009,0.161,-0.009,15.021
1.042,-0.072,-2.764,0.010,0.161,-0.010,15.014
1.070,-0.073,-2.721,0.013,0.164,-0.011,15.059
1.127,-0.082,-2.827,0.015,0.162,-0.012,15.036
1.004,-0.109,-2.728,0.014,0.159,-0.017,15.024
1.104,-0.121,-2.731,0.014,0.160,-0.010,15.020
1.095,-0.107,-2.745,0.012,0.161,-0.009,15.019
1.058,-0.065,-2.735,0.016,0.161,-0.012,15.004
1.083,-0.053,-2.745,0.011,0.160,-0.006,15.033
1.129,-0.111,-2.776,0.009,0.159,-0.008,15.050
1.050,-0.123,-2.799,0.010,0.167,-0.012,15.026
1.084,-0.127,-2.785,0.014,0.160,-0.013,15.039
1.092,-0.052,-2.760,0.010,0.162,-0.008,15.035
1.075,-0.058,-2.767,0.013,0.162,-0.009,15.034
1.038,-0.113,-2.740,0.009,0.164,-0.010,15.034
1.140,-0.088,-2.732,0.007,0.160,-0.007,15.031
1.044,-0.112,-2.775,0.005,0.167,-0.009,15.041
1.091,-0.086,-2.790,0.010,0.161,-0.015,15.040
1.090,-0.059,-2.749,0.019,0.161,-0.014,15.016
1.061,-0.129,-2.693,0.021,0.161,-0.016,15.018
1.040,-0.104,-2.790,0.008,0.163,-0.014,15.042
1.146,-0.144,-2.765,0.009,0.159,-0.012,15.052
1.061,-0.087,-2.849,0.008,0.166,-0.011,15.035
1.080,-0.075,-2.732,0.011,0.158,-0.012,15.009
1.097,-0.073,-2.756,0.016,0.162,-0.012,15.034
1.074,-0.102,-2.752,0.013,0.163,-0.011,15.032
1.028,-0.139,-2.770,0.011,0.161,-0.014,15.038
1.140,-0.094,-2.699,0.009,0.160,-0.008,15.026
1.086,-0.090,-2.802,0.013,0.164,-0.012,15.029
1.085,-0.066,-2.726,0.014,0.162,-0.015,15.034
1.093,-0.093,-2.713,0.016,0.163,-0.011,15.047
1.105,-0.122,-2.718,0.012,0.161,-0.011,15.041
1.049,-0.101,-2.802,0.008,0.163,-0.010,15.027
1.105,-0.094,-2.691,0.010,0.159,-0.008,15.060
1.114,-0.070,-2.806,0.011,0.163,-0.010,15.032
1.062,-0.084,-2.715,0.010,0.160,-0.014,15.019
1.061,-0.091,-2.740,0.019,0.162,-0.009,15.041
1.063,-0.119,-2.786,0.010,0.164,-0.010,15.034
1.106,-0.119,-2.756,0.007,0.160,-0.011,15.027
1.047,-0.081,-2.821,0.008,0.165,-0.010,14.998
1.120,-0.105,-2.735,0.014,0.160,-0.013,15.033
1.087,-0.080,-2.738,0.015,0.163,-0.014,15.021
1.049,-0.101,-2.714,0.014,0.158,-0.011,15.029
1.075,-0.134,-2.772,0.012,0.166,-0.011,15.037
1.123,-0.123,-2.721,0.017,0.156,-0.013,15.011
1.032,-0.124,-2.788,0.013,0.160,-0.014,15.000
1.114,-0.092,-2.732,0.010,0.164,-0.005,15.016
1.067,-0.061,-2.735,0.012,0.165,-0.011,15.032
1.050,-0.100,-2.717,0.011,0.160,-0.017,15.030
1.132,-0.147,-2.805,0.016,0.161,-0.005,15.031
1.044,-0.137,-2.759,0.013,0.170,-0.015,15.026
1.086,-0.051,-2.693,0.008,0.158,-0.012,15.005
1.097,-0.063,-2.825,0.008,0.163,-0.005,15.007
1.072,-0.041,-2.767,0.009,0.163,-0.009,15.026
1.067,-0.102,-2.793,0.014,0.161,-0.014,15.027
1.103,-0.165,-2.779,0.015,0.155,-0.008,15.025
1.045,-0.097,-2.779,0.008,0.167,-0.013,14.998
1.090,-0.091,-2.680,0.007,0.161,-0.013,15.025
1.081,-0.089,-2.825,0.012,0.160,-0.013,15.022
1.077,-0.085,-2.717,0.021,0.161,-0.016,15.005
1.070,-0.123,-2.699,0.015,0.162,-0.019,15.022
1.085,-0.123,-2.714,0.008,0.160,-0.003,15.023
1.053,-0.136,-2.766,0.006,0.165,-0.013,15.007
1.094,-0.108,-2.724,0.014,0.161,-0.011,15.024
1.092,-0.088,-2.862,0.014,0.158,-0.008,15.028
1.049,-0.048,-2.713,0.007,0.163,-0.009,15.024
1.087,-0.101,-2.763,0.008,0.162,-0.018,15.000
1.065,-0.155,-2.766,0.011,0.157,-0.011,15.009
1.088,-0.116,-2.692,0.016,0.158,-0.015,15.029
1.074,-0.069,-2.827,0.016,0.166,-0.018,15.022
1.053,-0.075,-2.722,0.010,0.160,-0.007,15.034
