2.149,-0.366,-7.400,0.073,0.445,-0.040,29.901
2.218,-0.361,-7.412,0.101,0.454,-0.036,29.931
2.216,-0.379,-7.093,0.098,0.440,-0.038,29.915
2.168,-0.229,-7.322,0.049,0.448,-0.018,29.961
2.162,-0.387,-7.490,0.085,0.446,-0.034,29.899
2.197,-0.380,-7.414,0.081,0.450,-0.035,29.931
2.175,-0.297,-7.231,0.064,0.440,-0.029,29.906
2.179,-0.390,-7.436,0.087,0.448,-0.041,29.924
2.191,-0.340,-7.463,0.096,0.448,-0.028,29.905
2.188,-0.317,-7.472,0.090,0.445,-0.025,29.921
2.166,-0.359,-7.261,0.080,0.443,-0.031,29.877
2.166,-0.397,-7.367,0.070,0.443,-0.029,29.927
2.222,-0.293,-7.368,0.075,0.452,-0.029,29.941
2.165,-0.395,-7.484,0.075,0.448,-0.034,29.928
2.180,-0.419,-7.261,0.108,0.444,-0.050,29.905
2.157,-0.442,-7.353,0.076,0.444,-0.037,29.886
2.203,-0.411,-7.347,0.089,0.447,-0.042,29.925
2.192,-0.419,-7.433,0.088,0.453,-0.044,29.903
2.177,-0.274,-7.238,0.052,0.440,-0.028,29.912
2.169,-0.412,-7.530,0.113,0.441,-0.028,29.866
2.183,-0.459,-7.308,0.099,0.445,-0.043,29.912
2.204,-0.381,-7.273,0.069,0.450,-0.038,29.897
2.180,-0.309,-7.424,0.056,0.451,-0.036,29.918
2.174,-0.247,-7.609,0.053,0.453,-0.012,29.917
2.163,-0.384,-7.629,0.085,0.448,-0.044,29.897
2.202,-0.410,-7.316,0.117,0.451,-0.043,29.921
2.189,-0.411,-7.440,0.101,0.448,-0.034,29.913
2.186,-0.328,-7.306,0.074,0.443,-0.022,29.896
2.169,-0.282,-7.430,0.090,0.448,-0.023,29.897
2.183,-0.548,-7.304,0.109,0.446,-0.061,29.926
2.197,-0.301,-7.371,0.050,0.450,-0.027,29.899
2.193,-0.398,-7.517,0.082,0.454,-0.040,29.914
2.165,-0.430,-7.490,0.103,0.451,-0.042,29.914
2.171,-0.581,-7.391,0.103,0.446,-0.062,29.933
2.202,-0.407,-7.445,0.114,0.448,-0.044,29.907
2.177,-0.502,-7.252,0.083,0.448,-0.050,29.894
2.178,-0.317,-7.478,0.081,0.453,-0.038,29.906
2.181,-0.443,-7.344,0.079,0.444,-0.040,29.914
2.207,-0.278,-7.253,0.081,0.442,-0.022,29.946
2.165,-0.307,-7.166,0.077,0.443,-0.025,29.944
2.191,-0.391,-7.417,0.086,0.451,-0.034,29.910
2.179,-0.465,-7.456,0.107,0.449,-0.042,29.911
